Bias/Heuristic Name,Type,Brief Description,Relevance to L&D/Leadership,Recommended Nudges
Ambiguity Effect,Decision-Making,Avoiding options with unknown probabilities.,Stick with known low-reward strategies.,"Clarify Unknowns Nudge; Small Safe Experiment Nudge"
Availability Cascade,Social,Repetition increases plausibility of beliefs.,Minor issues grow if repeatedly discussed.,"Counter-Narrative Nudge; Evidence Drop Nudge"
Backfire Effect,Belief,Disconfirming evidence strengthens prior beliefs.,Data can entrench resistance.,"Affirm-Then-Offer Nudge; Bridge Story Nudge"
Clustering Illusion,Decision-Making,Mistaking random clusters for patterns.,Misallocation from perceived regional 'hot spots'.,"Randomness Primer Nudge; Control Chart Nudge"
Cognitive Dissonance,Belief,Discomfort from contradictory beliefs or values.,Leaders feel tension when actions misalign with values.,"Value/Behavior Check Nudge; Commit to Align Nudge"
Conservatism Bias,Decision-Making,Insufficient updating with new evidence.,Slow reaction to market shifts.,"Update Cadence Nudge; New Evidence Gate Nudge"
Declinism,Belief,Pessimism about the future trajectory.,Stifles innovation and proactive change.,"Bright Spots Nudge; Future-Back Plan Nudge"
Distinction Bias,Decision-Making,Options seem more dissimilar side-by-side.,Complicates vendor selection.,"Criteria First Nudge; Side-by-Side Scorecard Nudge"
Empathy Gap,Social,Underestimating the strength of emotions.,Missing team stress signals.,"Stress Check-In Nudge; Perspective Flip Nudge"
Extrinsic Incentives Bias,Motivation,Attributing others' motivations to extrinsic rewards.,Assuming pay fixes a purpose problem.,"Motivation Mix Nudge; Job Crafting Nudge"
Forer Effect (Barnum Effect),Belief,Seeing vague statements as personally accurate.,Generic leadership advice seems insightful.,"Specifics Only Nudge; Evidence of Fit Nudge"
Framing Effect,Decision-Making,Conclusions vary by presentation.,Reframe outcomes for clarity/motivation.,"Two Frames Side-by-Side Nudge; Loss/Gain Mirror Nudge"
Frequency Illusion (Baader-Meinhof),Perception,Newly noticed things seem more frequent.,Overweighting recency of mentions.,"Base Rate Reminder Nudge; Sample Size Note Nudge"
Hard-easy Effect,Self-Perception,Overestimate on hard tasks, underestimate on easy.,Poor delegation and time management.,"Task Calibration Nudge; Estimation Game Nudge"
Hostile Media Effect,Social,Partisans view neutral coverage as hostile.,Departments see bias in the same communication.,"Neutral Summary Nudge; Cross-Review Nudge"
Illusion of Validity,Decision-Making,Overconfidence when data are consistent.,Overconfidence in a single hiring channel.,"Diverse Source Nudge; Periodic Re-Validation Nudge"
Information Overload,Decision-Making,Too much information impairs decisions.,Paralysis from overly detailed reports.,"Decision Brief Nudge; TL;DR Summary Nudge"
Just-world Hypothesis,Belief,Belief that people get what they deserve.,Blaming victims of layoffs or failures.,"Compassion Check Nudge; Context Panel Nudge"
Lake Wobegon Effect,Social,Overestimating capabilities in a group.,Most describe themselves as above average.,"Peer Benchmark Nudge; Objective Rubric Nudge"
Mental Accounting,Decision-Making,Separating money into arbitrary buckets.,Suboptimal budget allocation.,"One Pot View Nudge; Reallocation Review Nudge"
Mere-exposure Effect,Social,Preference for familiar things.,Sticking with inefficient processes.,"Try Two Alternatives Nudge; Swap Day Nudge"
Moral Credential Effect,Belief,Past good behavior licenses future bias.,Questionable hiring choice after good DEI record.,"Two Checks Rule Nudge; Counterbalance Reviewer Nudge"
Normalcy Bias,Decision-Making,Failure to plan for unprecedented events.,Poor crisis management.,"Tabletop Drill Nudge; Worst-Case Sketch Nudge"
Parkinson's Law of Triviality,Social,Disproportionate focus on trivial issues.,Debating button color over strategy.,"Timebox Trivial Nudge; Decision Weight Tag Nudge"
Proportionality Bias,Decision-Making,Assuming big events have big causes.,Ignoring cumulative small issues.,"Five Whys Nudge; Multiple Causes Map Nudge"
Salience Bias,Decision-Making,Focus on prominent/emotional items.,Overreacting to dramatic failures.,"Signal vs Noise Nudge; Dashboard Slice Nudge"
Scope Neglect,Decision-Making,Insensitivity to problem size.,Willingness to pay not scaling with size.,"Per-Unit View Nudge; Scale Marker Nudge"
System Justification,Social,Defending/bolstering the status quo.,Resistance to culture change.,"Change Story Nudge; Safe-to-Try Nudge"
Trait Ascription Bias,Social,Seeing others as more predictable than self.,Underestimating others' variability.,"Update the Label Nudge; Role Rotation Nudge"
